County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Adams,2018-P,0TOTAL,6046.50 ,6224.93 ,12271.43 ,3444.00 ,3165.00 ,,6609.00 ,1275.00 ,1155.00 ,,2430.00 ,0.57 ,0.51 ,0.54 ,0.21 ,0.19 ,0.20 ,0.37 ,0.36 ,0.37 
Adams,2018-P,18-24,994.64 ,1064.35 ,2058.99 ,356.00 ,345.00 ,,701.00 ,54.00 ,58.00 ,,112.00 ,0.36 ,0.32 ,0.34 ,0.05 ,0.05 ,0.05 ,0.15 ,0.17 ,0.16 
Adams,2018-P,25-34,1089.21 ,1168.07 ,2257.28 ,601.00 ,523.00 ,,1124.00 ,91.00 ,79.00 ,,170.00 ,0.55 ,0.45 ,0.50 ,0.08 ,0.07 ,0.08 ,0.15 ,0.15 ,0.15 
Adams,2018-P,35-44,1261.93 ,1290.30 ,2552.24 ,518.00 ,461.00 ,,979.00 ,98.00 ,90.00 ,,188.00 ,0.41 ,0.36 ,0.38 ,0.08 ,0.07 ,0.07 ,0.19 ,0.20 ,0.19 
Adams,2018-P,45-54,908.35 ,972.65 ,1881.00 ,495.00 ,452.00 ,,947.00 ,174.00 ,138.00 ,,312.00 ,0.54 ,0.46 ,0.50 ,0.19 ,0.14 ,0.17 ,0.35 ,0.31 ,0.33 
Adams,2018-P,55-64,837.30 ,823.60 ,1660.90 ,629.00 ,576.00 ,,1205.00 ,297.00 ,271.00 ,,568.00 ,0.75 ,0.70 ,0.73 ,0.35 ,0.33 ,0.34 ,0.47 ,0.47 ,0.47 
Adams,2018-P,65-,955.07 ,905.96 ,1861.02 ,845.00 ,808.00 ,,1653.00 ,561.00 ,519.00 ,,1080.00 ,0.88 ,0.89 ,0.89 ,0.59 ,0.57 ,0.58 ,0.66 ,0.64 ,0.65 
Asotin,2018-P,0TOTAL,9042.24 ,8713.52 ,17755.75 ,7635.00 ,6781.00 ,13.00 ,14429.00 ,3126.00 ,2764.00 ,3.00 ,5893.00 ,0.84 ,0.78 ,0.81 ,0.35 ,0.32 ,0.33 ,0.41 ,0.41 ,0.41 
Asotin,2018-P,18-24,769.08 ,727.17 ,1496.23 ,513.00 ,484.00 ,,997.00 ,69.00 ,83.00 ,,152.00 ,0.67 ,0.67 ,0.67 ,0.09 ,0.11 ,0.10 ,0.13 ,0.17 ,0.15 
Asotin,2018-P,25-34,1152.14 ,1049.16 ,2201.30 ,996.00 ,882.00 ,2.00 ,1880.00 ,121.00 ,106.00 ,,227.00 ,0.86 ,0.84 ,0.85 ,0.11 ,0.10 ,0.10 ,0.12 ,0.12 ,0.12 
Asotin,2018-P,35-44,1119.89 ,1095.17 ,2215.06 ,1035.00 ,897.00 ,1.00 ,1933.00 ,195.00 ,176.00 ,,371.00 ,0.92 ,0.82 ,0.87 ,0.17 ,0.16 ,0.17 ,0.19 ,0.20 ,0.19 
Asotin,2018-P,45-54,1396.97 ,1347.06 ,2744.03 ,1067.00 ,999.00 ,2.00 ,2068.00 ,322.00 ,292.00 ,,614.00 ,0.76 ,0.74 ,0.75 ,0.23 ,0.22 ,0.22 ,0.30 ,0.29 ,0.30 
Asotin,2018-P,55-64,1854.39 ,1750.64 ,3605.04 ,1562.00 ,1343.00 ,3.00 ,2908.00 ,794.00 ,654.00 ,,1448.00 ,0.84 ,0.77 ,0.81 ,0.43 ,0.37 ,0.40 ,0.51 ,0.49 ,0.50 
Asotin,2018-P,65-,2749.77 ,2744.32 ,5494.09 ,2462.00 ,2176.00 ,5.00 ,4643.00 ,1625.00 ,1453.00 ,3.00 ,3081.00 ,0.90 ,0.79 ,0.85 ,0.59 ,0.53 ,0.56 ,0.66 ,0.67 ,0.66 
Benton,2018-P,0TOTAL,71887.57 ,71374.93 ,143262.53 ,54528.00 ,50464.00 ,2320.00 ,107312.00 ,20659.00 ,19060.00 ,644.00 ,40363.00 ,0.76 ,0.71 ,0.75 ,0.29 ,0.27 ,0.28 ,0.38 ,0.38 ,0.38 
Benton,2018-P,18-24,8401.08 ,8666.15 ,17067.23 ,4514.00 ,4476.00 ,525.00 ,9515.00 ,741.00 ,671.00 ,94.00 ,1506.00 ,0.54 ,0.52 ,0.56 ,0.09 ,0.08 ,0.09 ,0.16 ,0.15 ,0.16 
Benton,2018-P,25-34,11671.19 ,12017.55 ,23688.73 ,8904.00 ,8077.00 ,413.00 ,17394.00 ,1448.00 ,1308.00 ,71.00 ,2827.00 ,0.76 ,0.67 ,0.73 ,0.12 ,0.11 ,0.12 ,0.16 ,0.16 ,0.16 
Benton,2018-P,35-44,11561.87 ,11979.35 ,23541.23 ,8747.00 ,8117.00 ,389.00 ,17253.00 ,1967.00 ,1822.00 ,95.00 ,3884.00 ,0.76 ,0.68 ,0.73 ,0.17 ,0.15 ,0.16 ,0.22 ,0.22 ,0.23 
Benton,2018-P,45-54,12217.94 ,12327.67 ,24545.63 ,8644.00 ,8027.00 ,284.00 ,16955.00 ,2814.00 ,2569.00 ,76.00 ,5459.00 ,0.71 ,0.65 ,0.69 ,0.23 ,0.21 ,0.22 ,0.33 ,0.32 ,0.32 
Benton,2018-P,55-64,12842.21 ,12645.27 ,25487.48 ,10337.00 ,9621.00 ,316.00 ,20274.00 ,5055.00 ,4531.00 ,102.00 ,9688.00 ,0.80 ,0.76 ,0.80 ,0.39 ,0.36 ,0.38 ,0.49 ,0.47 ,0.48 
Benton,2018-P,65-,15193.28 ,13738.94 ,28932.23 ,13382.00 ,12146.00 ,393.00 ,25921.00 ,8634.00 ,8159.00 ,206.00 ,16999.00 ,0.88 ,0.88 ,0.90 ,0.57 ,0.59 ,0.59 ,0.65 ,0.67 ,0.66 
