County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Adams,2018-P,0TOTAL," 6,047 "," 6,225 "," 12,271 "," 3,444 "," 3,165 ",," 6,609 "," 1,275 "," 1,155 ",," 2,430 ",57.0%,50.8%,53.9%,21.1%,18.6%,19.8%,37.0%,36.5%,36.8%
Adams,2018-P,18-24, 995 ," 1,064 "," 2,059 ", 356 , 345 ,, 701 , 54 , 58 ,, 112 ,35.8%,32.4%,34.0%,5.4%,5.4%,5.4%,15.2%,16.8%,16.0%
Adams,2018-P,25-34," 1,089 "," 1,168 "," 2,257 ", 601 , 523 ,," 1,124 ", 91 , 79 ,, 170 ,55.2%,44.8%,49.8%,8.4%,6.8%,7.5%,15.1%,15.1%,15.1%
Adams,2018-P,35-44," 1,262 "," 1,290 "," 2,552 ", 518 , 461 ,, 979 , 98 , 90 ,, 188 ,41.0%,35.7%,38.4%,7.8%,7.0%,7.4%,18.9%,19.5%,19.2%
Adams,2018-P,45-54, 908 , 973 ," 1,881 ", 495 , 452 ,, 947 , 174 , 138 ,, 312 ,54.5%,46.5%,50.3%,19.2%,14.2%,16.6%,35.2%,30.5%,32.9%
Adams,2018-P,55-64, 837 , 824 ," 1,661 ", 629 , 576 ,," 1,205 ", 297 , 271 ,, 568 ,75.1%,69.9%,72.6%,35.5%,32.9%,34.2%,47.2%,47.0%,47.1%
Adams,2018-P,65-, 955 , 906 ," 1,861 ", 845 , 808 ,," 1,653 ", 561 , 519 ,," 1,080 ",88.5%,89.2%,88.8%,58.7%,57.3%,58.0%,66.4%,64.2%,65.3%
Asotin,2018-P,0TOTAL," 9,042 "," 8,714 "," 17,756 "," 7,635 "," 6,781 ", 13 ," 14,429 "," 3,126 "," 2,764 ", 3 ," 5,893 ",84.4%,77.8%,81.3%,34.6%,31.7%,33.2%,40.9%,40.8%,40.8%
Asotin,2018-P,18-24, 769 , 727 ," 1,496 ", 513 , 484 ,, 997 , 69 , 83 ,, 152 ,66.7%,66.6%,66.6%,9.0%,11.4%,10.2%,13.5%,17.1%,15.2%
Asotin,2018-P,25-34," 1,152 "," 1,049 "," 2,201 ", 996 , 882 , 2 ," 1,880 ", 121 , 106 ,, 227 ,86.4%,84.1%,85.4%,10.5%,10.1%,10.3%,12.1%,12.0%,12.1%
Asotin,2018-P,35-44," 1,120 "," 1,095 "," 2,215 "," 1,035 ", 897 , 1 ," 1,933 ", 195 , 176 ,, 371 ,92.4%,81.9%,87.3%,17.4%,16.1%,16.7%,18.8%,19.6%,19.2%
Asotin,2018-P,45-54," 1,397 "," 1,347 "," 2,744 "," 1,067 ", 999 , 2 ," 2,068 ", 322 , 292 ,, 614 ,76.4%,74.2%,75.4%,23.0%,21.7%,22.4%,30.2%,29.2%,29.7%
Asotin,2018-P,55-64," 1,854 "," 1,751 "," 3,605 "," 1,562 "," 1,343 ", 3 ," 2,908 ", 794 , 654 ,," 1,448 ",84.2%,76.7%,80.7%,42.8%,37.4%,40.2%,50.8%,48.7%,49.8%
